"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3555","InvalidPasswordLogin","Default Suite","2025-09-16","passed","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","InvalidPasswordLogin"
"","5129","ValidLogin","Default Suite","2025-09-16","passed","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","ValidLogin"
"","4352","BothCredentialInvalidLogin","Default Suite","2025-09-16","passed","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","BothCredentialInvalidLogin"
"","4","setUp","Default Suite","2025-09-16","broken","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","setUp"
"","2407","InvalidUsernameLogin","Default Suite","2025-09-16","passed","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","InvalidUsernameLogin"
"","3","tearDown","Default Suite","2025-09-16","broken","2025-09-16","jperkeydemo.Tests.LoginTest","PortfolioDemo","jperkeydemo.Tests.LoginTest","tearDown"
