"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates login behavior across multiple credential combinations","8041","testLogin","PortfolioDemoSuite","2025-09-17","passed","2025-09-17","jperkeydemo.Tests.LoginTests.LoginTest","LoginTestSuite","jperkeydemo.Tests.LoginTests.LoginTest","testLogin"
"Validates login behavior across multiple credential combinations","5102","testLogin","PortfolioDemoSuite","2025-09-17","passed","2025-09-17","jperkeydemo.Tests.LoginTests.LoginTest","LoginTestSuite","jperkeydemo.Tests.LoginTests.LoginTest","testLogin"
"Validates login behavior across multiple credential combinations","8365","testLogin","PortfolioDemoSuite","2025-09-17","passed","2025-09-17","jperkeydemo.Tests.LoginTests.LoginTest","LoginTestSuite","jperkeydemo.Tests.LoginTests.LoginTest","testLogin"
"Validates login behavior across multiple credential combinations","4926","testLogin","PortfolioDemoSuite","2025-09-17","passed","2025-09-17","jperkeydemo.Tests.LoginTests.LoginTest","LoginTestSuite","jperkeydemo.Tests.LoginTests.LoginTest","testLogin"
